#ID	VF39e502A	VF39e502B	VF39Wt	VF39Solid	swarm/solid	VF39e502A/VF-WT
2513709537	877	722	35	392	0.1	25.1
2513709314	172	161	15	102	0.1	11.5
2513707340	559	466	49	386	0.1	11.4
2513709920	217	187	34	28	1.2	6.4
2513709328	6469	5336	1133	6003	0.2	5.7
2513709313	234	187	44	159	0.3	5.3
2513709326	300	262	58	251	0.2	5.2
2513709327	1227	1153	253	1243	0.2	4.9
2513709129	1710	1182	381	1545	0.2	4.5
2513711886	91	53	23	38	0.6	4.0
2513709918	61	56	15	11	1.4	4.0
2513709909	58	58	15	23	0.6	4.0
2513708460	87	75	23	91	0.3	3.7
2513712331	47	39	13	71	0.2	3.6
2513713491	80	88	22	49	0.5	3.6
2513712181	43	43	12	55	0.2	3.5
2513708185	6947	6229	1977	3948	0.5	3.5
2513711841	206	175	59	113	0.5	3.5
2513707161	5007	3558	1436	4278	0.3	3.5
2513710615	278	256	80	302	0.3	3.5
2513712201	71	63	21	123	0.2	3.4
2513714070	258	275	77	370	0.2	3.3
2513709130	191	137	58	205	0.3	3.3
2513709131	34	27	10	29	0.4	3.2
2513708358	176	149	55	165	0.3	3.2
2513712712	101	99	32	112	0.3	3.2
2513711033	72	57	23	46	0.5	3.1
2513714071	497	395	160	463	0.3	3.1
2513709929	57	52	19	26	0.7	3.1
2513709906	87	85	28	30	1.0	3.1
2513712336	31	28	10	43	0.2	3.0
2513711433	664	692	221	1473	0.2	3.0
2513714443	309	58	105	275	0.4	2.9
2513711065	28	29	10	53	0.2	2.9
2513711840	56	52	20	55	0.4	2.8
2513713984	1957	1825	693	2507	0.3	2.8
2513714069	30	26	11	41	0.3	2.8
2513714069	30	26	11	41	0	2.8
2513712332	62	52	23	81	0.3	2.7
2513712332	62	52	23	81	0	2.7
2513714477	41	54	15	54	0.3	2.7
2513714477	41	54	15	54	0	2.7
2513711002	119	118	45	148	0.3	2.7
2513711002	119	118	45	148	0	2.7
2513709440	99	83	37	68	0.5	2.6
2513709440	99	83	37	68	1	2.6
2513711399	130	139	50	272	0.2	2.6
2513711399	130	139	50	272	0	2.6
2513709783	148	131	57	271	0.2	2.6
2513709783	148	131	57	271	0	2.6
2513707756	221	204	85	310	0.3	2.6
2513707756	221	204	85	310	0	2.6
2513709527	594	672	227	958	0.2	2.6
2513709527	594	672	227	958	0	2.6
2513710441	717	711	278	1031	0.3	2.6
2513710441	717	711	278	1031	0	2.6
2513707460	164	187	64	177	0.4	2.6
2513707460	164	187	64	177	0	2.6
2513713107	62	49	24	59	0.4	2.5
2513713107	62	49	24	59	0	2.5
2513711435	78	79	31	135	0.2	2.5
2513711435	78	79	31	135	0	2.5
2513708123	68	78	27	86	0.3	2.5
2513708123	68	78	27	86	0	2.5
2513710064	52	45	21	91	0.2	2.5
2513710064	52	45	21	91	0	2.5
2513708265	41	41	16	76	0.2	2.5
2513708265	41	41	16	76	0	2.5
2513712200	26	31	11	44	0.2	2.5
2513712200	26	31	11	44	0	2.5
2513714476	248	290	101	353	0.3	2.4
2513714476	248	290	101	353	0	2.4
2513708043	94	120	38	90	0.4	2.4
2513708043	94	120	38	90	0	2.4
2513708388	84	65	34	84	0.4	2.4
2513708388	84	65	34	84	0	2.4
2513713056	184	190	76	78	1.0	2.4
2513713056	184	190	76	78	1	2.4
2513711822	30	32	12	44	0.3	2.4
2513711822	30	32	12	44	0	2.4
2513708441	195	201	80	299	0.3	2.4
2513708441	195	201	80	299	0	2.4
2513711875	42	33	17	62	0.3	2.4
2513711875	42	33	17	62	0	2.4
2513708148	113	123	47	101	0.5	2.4
2513708148	113	123	47	101	0	2.4
2513709108	167	146	69	250	0.3	2.4
2513709108	167	146	69	250	0	2.4
2513711372	43	46	18	192	0.1	2.4
2513711372	43	46	18	192	0	2.4
2513708122	270	339	113	292	0.4	2.4
2513708122	270	339	113	292	0	2.4
2513707918	939	902	395	1747	0.2	2.4
2513707918	939	902	395	1747	0	2.4
2513707743	131	153	55	103	0.5	2.4
2513707743	131	153	55	103	1	2.4
2513708869	512	577	216	484	0.4	2.4
2513708869	512	577	216	484	0	2.4
2513707802	554	476	234	523	0.4	2.4
2513707802	554	476	234	523	0	2.4
2513707153	41	34	18	12	1.5	2.3
2513707153	41	34	18	12	2	2.3
2513711434	89	93	38	193	0.2	2.3
2513711434	89	93	38	193	0	2.3
2513709601	72	56	31	64	0.5	2.3
2513709601	72	56	31	64	0	2.3
2513707391	227	225	98	142	0.7	2.3
2513707391	227	225	98	142	1	2.3
2513712258	58	60	25	101	0.2	2.3
2513712258	58	60	25	101	0	2.3
2513712987	42	35	18	71	0.3	2.3
2513712987	42	35	18	71	0	2.3
2513710192	334	365	146	462	0.3	2.3
2513710192	334	365	146	462	0	2.3
2513710616	292	302	128	335	0.4	2.3
2513710616	292	302	128	335	0	2.3
2513713045	22	26	10	36	0.3	2.3
2513713045	22	26	10	36	0	2.3
2513713117	102	87	45	97	0.5	2.3
2513713117	102	87	45	97	0	2.3
2513709307	30	32	14	30	0.5	2.2
2513709307	30	32	14	30	0	2.2
2513711235	61	43	27	93	0.3	2.2
2513711235	61	43	27	93	0	2.2
2513709525	1452	1718	655	2343	0.3	2.2
2513709525	1452	1718	655	2343	0	2.2
2513713841	31	22	14	19	0.7	2.2
2513713841	31	22	14	19	1	2.2
2513711820	30	21	13	39	0.3	2.2
2513711820	30	21	13	39	0	2.2
2513709526	756	787	344	1277	0.3	2.2
2513709526	756	787	344	1277	0	2.2
2513710225	58	61	27	103	0.3	2.2
2513710225	58	61	27	103	0	2.2
2513712373	24	21	11	47	0.2	2.2
2513712373	24	21	11	47	0	2.2
2513710191	214	240	98	360	0.3	2.2
2513710191	214	240	98	360	0	2.2
2513711064	27	28	12	67	0.2	2.2
2513711064	27	28	12	67	0	2.2
2513707801	208	172	96	199	0.5	2.2
2513707801	208	172	96	199	0	2.2
2513708412	48	45	22	65	0.3	2.2
2513708412	48	45	22	65	0	2.2
2513709840	90	83	41	117	0.4	2.2
2513709840	90	83	41	117	0	2.2
2513709603	36	27	17	44	0.4	2.2
2513709603	36	27	17	44	0	2.2
2513710406	63	55	29	106	0.3	2.2
2513710406	63	55	29	106	0	2.2
2513711068	115	116	53	245	0.2	2.2
2513711068	115	116	53	245	0	2.2
2513710848	54	53	25	119	0.2	2.1
2513710848	54	53	25	119	0	2.1
2513707755	420	405	196	754	0.3	2.1
2513707755	420	405	196	754	0	2.1
2513707642	27	24	12	48	0.3	2.1
2513707642	27	24	12	48	0	2.1
2513709876	62	52	29	92	0.3	2.1
2513709876	62	52	29	92	0	2.1
2513711400	196	201	92	400	0.2	2.1
2513711400	196	201	92	400	0	2.1
2513709649	22	21	10	45	0.2	2.1
2513709649	22	21	10	45	0	2.1
2513709930	79	63	37	53	0.7	2.1
2513709930	79	63	37	53	1	2.1
2513709602	65	51	31	76	0.4	2.1
2513709602	65	51	31	76	0	2.1
2513713938	107	115	51	70	0.7	2.1
2513713938	107	115	51	70	1	2.1
2513710398	673	804	318	1240	0.3	2.1
2513710398	673	804	318	1240	0	2.1
2513713571	55	45	26	92	0.3	2.1
2513713571	55	45	26	92	0	2.1
2513708637	25	25	12	44	0.3	2.1
2513708637	25	25	12	44	0	2.1
2513712140	181	183	86	114	0.8	2.1
2513712140	181	183	86	114	1	2.1
2513712817	46	53	22	82	0.3	2.1
2513712817	46	53	22	82	0	2.1
2513707663	486	564	233	255	0.9	2.1
2513707663	486	564	233	255	1	2.1
2513712625	54	53	26	98	0.3	2.1
2513712625	54	53	26	98	0	2.1
2513713982	1778	1759	855	3186	0.3	2.1
2513713982	1778	1759	855	3186	0	2.1
2513713418	32	32	15	80	0.2	2.1
2513713418	32	32	15	80	0	2.1
2513712954	268	258	129	365	0.4	2.1
2513712954	268	258	129	365	0	2.1
2513712518	50	52	24	94	0.3	2.1
2513712518	50	52	24	94	0	2.1
2513713696	72	61	35	120	0.3	2.1
2513713696	72	61	35	120	0	2.1
2513713044	39	31	19	47	0.4	2.0
2513713044	39	31	19	47	0	2.0
2513713570	51	39	25	101	0.2	2.0
2513713570	51	39	25	101	0	2.0
2513711067	198	206	97	352	0.3	2.0
2513711067	198	206	97	352	0	2.0
2513711069	96	105	47	211	0.2	2.0
2513711069	96	105	47	211	0	2.0
2513710224	62	66	31	120	0.3	2.0
2513710224	62	66	31	120	0	2.0
2513711908	100	92	50	146	0.3	2.0
2513711908	100	92	50	146	0	2.0
2513708827	162	220	80	94	0.8	2.0
2513708827	162	220	80	94	1	2.0
2513711362	117	275	58	546	0.1	2.0
2513711362	117	275	58	546	0	2.0
2513713985	59	54	29	73	0.4	2.0
2513713985	59	54	29	73	0	2.0
2513712581	47	56	23	122	0.2	2.0
2513712581	47	56	23	122	0	2.0
2513712818	92	102	46	137	0.3	2.0
2513712818	92	102	46	137	0	2.0
2513708266	58	56	29	97	0.3	2.0
2513708266	58	56	29	97	0	2.0
2513709060	263	261	132	295	0.4	2.0
2513709060	263	261	132	295	0	2.0
2513709219	81	101	41	187	0.2	2.0
2513709219	81	101	41	187	0	2.0
2513707556	1969	1967	992	1724	0.6	2.0
2513707556	1969	1967	992	1724	1	2.0
2513712380	28	27	14	47	0.3	2.0
2513712380	28	27	14	47	0	2.0
2513710849	103	83	52	139	0.4	2.0
2513710849	103	83	52	139	0	2.0
2513713958	211	217	106	278	0.4	2.0
2513713958	211	217	106	278	0	2.0
2513713864	35	23	18	30	0.6	2.0
2513713864	35	23	18	30	1	2.0
2513711927	21	21	11	59	0.2	2.0
2513711927	21	21	11	59	0	2.0
2513711361	118	239	60	508	0.1	2.0
2513711361	118	239	60	508	0	2.0
2513713697	85	75	43	126	0.3	2.0
2513713697	85	75	43	126	0	2.0
2513708984	881	638	448	457	1.0	2.0
2513708984	881	638	448	457	1	2.0
2513713622	697	672	355	443	0.8	2.0
2513713622	697	672	355	443	1	2.0
2513714038	35	35	18	50	0.3	2.0
2513714038	35	35	18	50	0	2.0
2513709880	24	18	12	32	0.4	2.0
2513709880	24	18	12	32	0	2.0
2513710199	91	101	47	100	0.5	2.0
2513710199	91	101	47	100	0	2.0
2513713497	10	11	18	20	1	0.5
2513712655	138	131	251	210	1	0.5
2513709369	63	73	114	66	2	0.5
2513712532	17	20	30	25	1	0.5
2513709441	20	25	36	28	1	0.5
2513712995	15	12	27	18	1	0.5
2513713399	250	273	459	475	1	0.5
2513709514	85	79	157	79	2	0.5
2513714289	30	33	56	38	1	0.5
2513712017	17	19	32	42	1	0.5
2513714366	13	13	23	15	2	0.5
2513708564	33	27	60	58	1	0.5
2513709578	12	11	22	20	1	0.5
2513711408	30	34	56	51	1	0.5
2513712669	56	52	104	76	1	0.5
2513711834	19	19	36	29	1	0.5
2513710111	266	236	497	441	1	0.5
2513712282	24	26	44	37	1	0.5
2513708010	13	11	25	25	1	0.5
2513712221	22	20	41	29	1	0.5
2513708250	24	24	45	43	1	0.5
2513709538	40	35	75	66	1	0.5
2513714251	19	18	35	32	1	0.5
2513712834	15	16	29	20	1	0.5
2513707838	75	146	142	174	1	0.5
2513710552	25	16	47	49	1	0.5
2513708572	18	24	35	27	1	0.5
2513708153	42	49	80	57	1	0.5
2513713128	211	245	401	209	2	0.5
2513710116	42	63	79	91	1	0.5
2513713645	61	65	117	115	1	0.5
2513708658	54	72	103	57	2	0.5
2513710655	22	27	41	36	1	0.5
2513707687	43	37	83	57	1	0.5
2513712639	23	21	45	32	1	0.5
2513708213	17	22	33	22	1	0.5
2513708030	168	126	324	448	1	0.5
2513709364	17	17	32	30	1	0.5
2513707901	10	12	20	10	2	0.5
2513709545	44	48	85	97	1	0.5
2513709821	16	15	31	24	1	0.5
2513709416	50	59	98	46	2	0.5
2513707147	51	40	101	139	1	0.5
2513707257	185	144	362	259	1	0.5
2513713211	30	31	58	41	1	0.5
2513708104	96	110	187	212	1	0.5
2513712643	29	29	57	43	1	0.5
2513711987	62	212	121	154	1	0.5
2513709460	19	19	36	40	1	0.5
2513709383	19	23	37	36	1	0.5
2513713822	18	13	35	34	1	0.5
2513711240	16	18	31	33	1	0.5
2513713398	32	41	64	37	2	0.5
2513710211	145	133	285	228	1	0.5
2513711639	54	61	108	117	1	0.5
2513710548	101	53	199	59	3	0.5
2513711561	338	354	671	1005	1	0.5
2513712875	11	10	22	15	1	0.5
2513707868	11	13	22	25	1	0.5
2513710240	209	344	417	305	1	0.5
2513712187	55	63	110	128	1	0.5
2513714188	387	368	775	439	2	0.5
2513707170	13	16	26	28	1	0.5
2513708608	3982	4019	7996	4214	2	0.5
2513711638	66	59	132	88	2	0.5
2513710413	14	12	28	26	1	0.5
2513710851	161	191	326	286	1	0.5
2513712522	20	23	40	48	1	0.5
2513713891	97	63	198	237	1	0.5
2513711060	271	393	554	388	1	0.5
2513712387	22	19	44	52	1	0.5
2513711618	32	35	66	45	1	0.5
2513708714	49	48	100	101	1	0.5
2513708719	12	14	25	20	1	0.5
2513711873	13	14	27	19	1	0.5
2513709540	59	60	122	91	1	0.5
2513712108	10	11	21	13	2	0.5
2513709234	11	15	22	13	2	0.5
2513714064	31	42	66	73	1	0.5
2513708125	18	20	38	33	1	0.5
2513712604	101	114	212	105	2	0.5
2513709490	47	46	98	64	2	0.5
2513710657	47	53	99	83	1	0.5
