gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2513707022	130	29.41	1	130	2	132	4.0e-25	107	COG1815	Flagellar basal body protein	133
2513707024	466	45.54	10	454	1	440	0.0e+00	521	COG1157	Flagellar biosynthesis/type III secretory pathway ATPase	441
2513707025	244	33.58	1	241	1	265	3.0e-53	202	COG4786	Flagellar basal body rod protein	265
2513707026	300	38.95	11	295	3	266	1.0e-78	286	COG1291	Flagellar motor component	266
2513707027	316	22.47	3	315	17	330	2.0e-51	196	COG1868	Flagellar motor switch protein	332
2513707028	195	35.14	79	189	29	136	4.0e-19	88.1	COG1886	Flagellar motor switch/type III secretory pathway protein	136
2513707029	346	34.15	14	339	9	335	3.0e-70	259	COG1536	Flagellar motor switch protein	339
2513707030	387	41.46	31	387	3	358	2.0e-110	393	COG1377	Flagellar biosynthesis pathway, component FlhB	363
2513707032	240	40.98	179	239	5	65	9.0e-13	67.3	COG2771	DNA-binding HTH domain-containing proteins	65
2513707033	248	43.08	184	248	1	65	1.0e-14	73.9	COG2771	DNA-binding HTH domain-containing proteins	65
2513707034	561	34.1	1	559	3	545	3.0e-124	439	COG1766	Flagellar biosynthesis/type III secretory pathway lipoprotein	545
2513707036	184	51.85	1	160	1	162	8.0e-57	213	COG1871	Chemotaxis protein; stimulates methylation of MCP proteins	164
2513707038	347	55.43	5	346	2	350	6.0e-105	374	COG2201	Chemotaxis response regulator containing a CheY-like receiver domain and a methylesterase domain	350
2513707039	302	43.33	26	292	1	264	6.0e-80	291	COG1352	Methylase of chemotaxis methyl-accepting proteins	268
2513707040	155	40	1	155	6	160	1.0e-38	151	COG0835	Chemotaxis signal transduction protein	165
2513707041	761	39.74	1	753	4	716	0.0e+00	660	COG0643	Chemotaxis protein histidine kinase and related kinases	716
2513707043	98	25	4	87	11	98	4.0e-06	43.1	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	117
2513707044	544	26.1	128	489	22	408	2.0e-37	150	COG0840	Methyl-accepting chemotaxis protein	408
2513707046	473	20.56	1	411	16	442	3.0e-24	106	COG1807	4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family	535
2513707048	606	70.94	1	406	1	392	0.0e+00	507	COG4651	Kef-type K+ transport system, predicted NAD-binding component	408
2513707050	849	44.94	1	521	2	506	4.0e-126	446	COG0342	Preprotein translocase subunit SecD	506
2513707052	145	26.98	7	131	2	124	7.0e-07	46.8	COG0784	FOG: CheY-like receiver	130
2513707053	234	51.61	172	233	4	65	5.0e-15	74.6	COG2771	DNA-binding HTH domain-containing proteins	65
2513707058	518	36.63	314	513	1	202	1.0e-46	181	COG0400	Predicted esterase	207
2513707059	301	24.73	15	292	10	278	6.0e-07	48.3	COG5006	Predicted permease, DMT superfamily	292
2513707060	494	43.87	30	488	4	466	2.0e-110	393	COG4529	Uncharacterized protein conserved in bacteria	474
2513707061	142	22.54	1	142	1	135	4.0e-19	87.4	COG1765	Predicted redox protein, regulator of disulfide bond formation	137
2513707064	284	47.12	1	275	1	276	7.0e-82	297	COG1273	Uncharacterized conserved protein	278
2513707065	268	50.74	1	267	1	265	2.0e-78	285	COG1273	Uncharacterized conserved protein	278
2513707066	244	21.52	91	240	51	207	2.0e-05	43	COG2755	Lysophospholipase L1 and related esterases	216
2513707067	402	20.73	24	371	48	403	2.0e-08	54	COG3307	Lipid A core - O-antigen ligase and related enzymes	424
2513707068	368	26.88	5	368	6	374	2.0e-21	96.8	COG1835	Predicted acyltransferases	386
2513707073	348	27.42	6	301	2	274	1.0e-34	141	COG0388	Predicted amidohydrolase	274
2513707074	357	21.53	2	353	1	339	5.0e-45	175	COG2516	Biotin synthase-related enzyme	339
2513707076	324	38.24	4	315	1	317	3.0e-63	235	COG2144	Selenophosphate synthetase-related proteins	324
2513707077	389	24.69	9	386	3	380	2.0e-27	117	COG0438	Glycosyltransferase	381
2513707079	424	21.85	2	409	1	408	3.0e-38	153	COG2072	Predicted flavoprotein involved in K+ transport	443
